state,startdate,enddate,grade,samplesize,population,rawpoll_clinton,rawpoll_trump
OR,10/4/2016,10/9/2016,B,382,lv,48.54,23.82
ME,8/9/2016,9/1/2016,C-,715,rv,37,34
NC,6/10/2016,6/22/2016,,603,lv,44,37
PA,6/10/2016,6/22/2016,,601,lv,46,32
NV,10/17/2016,10/25/2016,C-,967,lv,44,44
MD,10/4/2016,10/9/2016,B,368,lv,48.14,25.89
WY,9/21/2016,9/26/2016,B,55,lv,17.78,45.91
NM,9/9/2016,9/29/2016,A-,145,lv,48.94,39.69
NJ,6/22/2016,6/26/2016,A,349,rv,44,32
GA,9/23/2016,9/29/2016,A-,317,lv,38.11,50.98
IL,7/14/2016,7/16/2016,,1200,lv,51,34
CO,10/24/2016,10/30/2016,C-,1417,lv,44,39
NH,9/9/2016,9/29/2016,A-,170,lv,47.21,41.25
FL,10/25/2016,10/31/2016,C-,2809,lv,46,45
OH,9/30/2016,10/6/2016,A-,609,lv,46.21,42.56
SD,9/21/2016,9/26/2016,B,86,lv,29.11,31.07
MI,10/18/2016,10/26/2016,C-,1928,lv,43,40
KS,9/9/2016,9/29/2016,A-,336,lv,34.4,53.56
ME,9/21/2016,9/26/2016,B,75,lv,36.31,28.63
NE,8/9/2016,9/1/2016,C-,983,rv,32,42
DE,9/21/2016,9/26/2016,B,90,lv,25.92,23.36
OR,9/16/2016,9/29/2016,A-,436,lv,48.42,37.65
AK,9/21/2016,9/26/2016,B,67,lv,28.37,37.74
MA,10/4/2016,10/9/2016,B,407,lv,52.75,19.79
NE,10/17/2016,10/25/2016,C-,461,lv,33,52
MS,9/27/2016,10/3/2016,B,205,lv,24.3,45.98
MI,10/25/2016,10/31/2016,C-,1649,lv,43,42
NY,9/23/2016,9/29/2016,A-,651,lv,49.34,29.05
NC,10/25/2016,10/31/2016,C-,1574,lv,47,44
VA,8/7/2016,8/17/2016,C+,803,lv,48,32
TN,9/16/2016,9/29/2016,A-,495,lv,35.1,47.07
LA,8/9/2016,9/1/2016,C-,871,rv,33,49
MI,10/11/2016,10/11/2016,D,1429,lv,47,37
PA,9/30/2016,10/6/2016,A-,468,lv,49.34,42.79
DC,9/14/2016,9/20/2016,B,73,lv,43.22,28.46
NE,9/9/2016,9/29/2016,A-,197,lv,32.71,51.19
NJ,6/22/2016,6/26/2016,A,363,rv,52,31
VT,9/21/2016,9/26/2016,B,56,lv,48.29,28.19
OH,10/10/2016,10/14/2016,B,782,lv,34.87,35.98
KY,10/24/2016,10/30/2016,C-,318,lv,31,59
IN,8/9/2016,9/1/2016,C-,2294,rv,30,46
PA,10/10/2016,10/14/2016,B,717,lv,38.86,36.06
MS,8/9/2016,9/1/2016,C-,823,rv,43,46
NJ,10/10/2016,10/14/2016,B,658,lv,39.82,32.04
WV,9/21/2016,9/26/2016,B,100,lv,30.64,40.3
MT,9/2/2016,9/22/2016,A-,130,lv,36.29,53.6
FL,10/18/2016,10/26/2016,C-,3193,lv,47,44
IA,9/9/2016,9/29/2016,A-,343,lv,42.15,48.82
NM,9/27/2016,10/3/2016,B,202,lv,43.05,22.73
MI,7/7/2016,7/8/2016,B-,1562,a,37,34
KS,9/27/2016,10/3/2016,B,294,lv,36.39,28.62
AR,9/27/2016,10/3/2016,B,150,lv,29.66,45.44
MO,8/9/2016,9/1/2016,C-,1801,rv,34,43
SC,10/17/2016,10/25/2016,C-,1900,lv,43,45
NM,9/24/2016,9/25/2016,,1415,lv,41.8,36.6
ME,8/17/2016,8/20/2016,C,841,lv,42,32
GA,9/9/2016,9/22/2016,A-,613,lv,42.71,46.04
OK,9/9/2016,9/29/2016,A-,370,lv,31.34,53.86
LA,10/17/2016,10/25/2016,C-,388,lv,38,53
MO,10/17/2016,10/25/2016,C-,716,lv,36,50
LA,9/27/2016,10/3/2016,B,259,lv,31.23,45.71
LA,9/9/2016,9/29/2016,A-,427,lv,37.53,49.56
NH,9/14/2016,9/20/2016,B,85,lv,28.44,37.61
KY,9/27/2016,10/3/2016,B,384,lv,36.44,36.64
MI,6/10/2016,6/22/2016,,612,lv,47,30
NH,8/9/2016,9/1/2016,C-,1218,rv,40,34
WI,6/21/2016,6/24/2016,B,993,lv,41,36
IL,6/7/2016,6/7/2016,,732,lv,48.3,29.5
FL,10/24/2016,10/30/2016,C-,2634,lv,46,45
FL,6/10/2016,6/22/2016,,596,lv,47,34
AR,8/9/2016,9/1/2016,C-,765,rv,37,46
AL,8/9/2016,9/1/2016,C-,958,rv,31,53
IN,9/16/2016,9/29/2016,A-,340,lv,35.88,53.16
TN,9/27/2016,10/3/2016,B,522,lv,31.62,42.73
SC,9/27/2016,10/3/2016,B,413,lv,29.83,40.78
CO,9/16/2016,9/29/2016,A-,463,lv,43.25,45.22
GA,10/4/2016,10/9/2016,B,456,lv,30.76,42.67
MA,9/16/2016,9/29/2016,A-,588,lv,50.12,28.38
NC,9/16/2016,9/29/2016,A-,520,lv,48.07,43.58
IL,9/23/2016,9/29/2016,A-,422,lv,52.71,33.37
TX,10/10/2016,10/14/2016,B,978,lv,29.79,41.49
MN,10/4/2016,10/9/2016,B,580,lv,39.04,25.42
IA,10/17/2016,10/25/2016,C-,1229,lv,40,44
WA,10/4/2016,10/9/2016,B,538,lv,45.5,27.99
NV,8/9/2016,9/1/2016,C-,2776,rv,40,37
WI,9/16/2016,9/29/2016,A-,592,lv,42.48,42
MN,9/16/2016,9/29/2016,A-,551,lv,42.8,34.63
AZ,6/22/2016,6/23/2016,B+,691,v,40,44
AZ,10/4/2016,10/9/2016,B,562,lv,38.24,35.87
MO,9/1/2016,9/2/2016,,1275,lv,38,47
CO,10/4/2016,10/9/2016,B,529,lv,41.46,25.52
UT,10/17/2016,10/25/2016,C-,969,lv,28,33
IL,8/9/2016,9/1/2016,C-,2599,rv,45,31
IL,10/10/2016,10/14/2016,B,930,lv,36.05,32.23
VA,10/17/2016,10/25/2016,C-,2459,lv,48,39
VA,10/4/2016,10/9/2016,B,539,lv,34.05,36.57
MT,9/21/2016,9/26/2016,B,147,lv,32.15,36.3
NC,10/24/2016,10/30/2016,C-,1383,lv,47,43
FL,10/10/2016,10/14/2016,B,964,lv,36.93,39.19
NC,10/4/2016,10/9/2016,B,618,lv,35.04,36.78
NJ,5/10/2016,5/16/2016,A-,1989,rv,45,38
DE,9/2/2016,9/22/2016,A-,116,lv,40.04,32.95
IL,10/17/2016,10/25/2016,C-,1091,lv,52,34
CT,9/27/2016,10/3/2016,B,312,lv,44.46,26.58
MO,10/4/2016,10/9/2016,B,585,lv,34.15,30.38
MI,10/24/2016,10/30/2016,C-,1400,lv,43,42
MA,10/17/2016,10/25/2016,C-,675,lv,61,28
CA,5/26/2016,5/31/2016,A+,1002,lv,53,34
FL,7/9/2016,7/10/2016,C,700,lv,42,47
CA,9/1/2016,9/8/2016,C-,4212,rv,49,29
AL,10/17/2016,10/25/2016,C-,415,lv,36,52
KY,10/4/2016,10/9/2016,B,196,lv,35.39,34
OK,8/9/2016,9/1/2016,C-,1041,rv,26,49
RI,9/14/2016,9/20/2016,B,50,lv,46.4,30.9
NJ,9/9/2016,9/22/2016,A-,853,lv,50.49,32.22
IA,9/27/2016,10/3/2016,B,411,lv,38.14,29.27
WY,9/14/2016,9/20/2016,B,60,lv,30.13,45.26
IN,10/4/2016,10/9/2016,B,653,lv,36.04,35.07
MD,8/9/2016,9/1/2016,C-,1199,rv,54,27
MD,9/27/2016,10/3/2016,B,461,lv,48.83,23.09
MS,9/2/2016,9/22/2016,A-,185,lv,37.59,49.94
TX,9/23/2016,9/29/2016,A-,464,lv,32.9,48.31
ID,9/2/2016,9/22/2016,A-,178,lv,32.19,54.9
OK,10/17/2016,10/25/2016,C-,493,lv,32,56
ME,9/2/2016,9/22/2016,A-,247,lv,39.71,38.19
WA,10/17/2016,10/25/2016,C-,687,lv,51,34
ID,9/21/2016,9/26/2016,B,144,lv,22.61,46.46
NM,8/9/2016,9/1/2016,C-,1788,rv,37,29
NJ,5/23/2016,5/27/2016,A+,703,rv,37,31
MI,10/4/2016,10/9/2016,B,587,lv,39.75,28.98
NH,9/2/2016,9/22/2016,A-,179,lv,51.19,36.28
ND,9/14/2016,9/20/2016,B,63,lv,17.44,39.19
NY,10/10/2016,10/14/2016,B,912,lv,47.36,27.7
NJ,10/17/2016,10/25/2016,C-,590,lv,52,36
KY,9/9/2016,9/22/2016,A-,322,lv,37.31,53.57
ID,7/5/2016,7/16/2016,C+,601,lv,23,44
CA,9/23/2016,9/29/2016,A-,787,lv,63.67,23.74
WV,9/2/2016,9/22/2016,A-,146,lv,34.55,51.74
MN,10/17/2016,10/25/2016,C-,566,lv,47,36
WI,10/4/2016,10/9/2016,B,738,lv,44.29,27.22
CT,8/9/2016,9/1/2016,C-,1053,rv,44,33
OR,9/27/2016,10/3/2016,B,438,lv,48.01,26.47
CT,10/17/2016,10/25/2016,C-,515,lv,50,36
TN,10/17/2016,10/25/2016,C-,572,lv,38,49
VT,9/14/2016,9/20/2016,B,61,lv,43.99,18.62
CA,10/10/2016,10/14/2016,B,1166,lv,48.27,26.89
IN,10/17/2016,10/25/2016,C-,688,lv,35,48
HI,9/7/2016,9/13/2016,B,90,lv,40.16,21.25
NC,6/21/2016,6/23/2016,B+,600,lv,42,40
MA,8/9/2016,9/1/2016,C-,1167,rv,48,29
MA,9/27/2016,10/3/2016,B,465,lv,50.2,22.82
NM,9/2/2016,9/22/2016,A-,137,lv,46.94,37.92
AZ,6/11/2016,6/20/2016,B-,300,lv,39,45
WI,6/11/2016,6/20/2016,B-,300,lv,44,32
AR,9/2/2016,9/22/2016,A-,280,lv,41.08,49.15
WI,10/17/2016,10/25/2016,C-,1351,lv,43,41
NH,9/21/2016,9/26/2016,B,39,lv,40.36,38.63
KY,8/26/2016,9/15/2016,A-,437,lv,35.33,53.99
MD,9/9/2016,9/22/2016,A-,435,lv,50.27,33.88
DE,9/14/2016,9/20/2016,B,85,lv,41.23,30.04
NE,9/21/2016,9/26/2016,B,207,lv,29.03,38.05
AL,9/27/2016,10/3/2016,B,357,lv,19.45,56.59
KS,9/2/2016,9/22/2016,A-,314,lv,35.91,50.8
DC,9/7/2016,9/13/2016,B,73,lv,38.8,32.39
TN,8/9/2016,9/1/2016,C-,1021,rv,31,51
NV,9/2/2016,9/22/2016,A-,294,lv,45.03,45.02
ME,6/15/2016,6/21/2016,B+,475,lv,42,35
GA,9/27/2016,10/3/2016,B,599,lv,28.89,43.74
MO,9/9/2016,9/22/2016,A-,356,lv,35.23,50.79
IA,6/24/2016,6/28/2016,B-,600,lv,44,31
IA,9/2/2016,9/22/2016,A-,344,lv,40.51,50.74
KY,7/5/2016,7/7/2016,B,776,a,28.3,33.6
PA,9/23/2016,9/29/2016,A-,500,lv,45.23,42.35
KY,8/9/2016,9/1/2016,C-,732,rv,29,52
SD,9/14/2016,9/20/2016,B,75,lv,31.03,30.11
IN,9/9/2016,9/22/2016,A-,367,lv,34.92,53.53
PA,10/4/2016,10/9/2016,B,737,lv,39.65,33.6
NV,9/27/2016,10/3/2016,B,120,lv,35.2,33.06
KY,10/17/2016,10/25/2016,C-,366,lv,29,60
MI,9/23/2016,9/29/2016,A-,375,lv,39.35,39.05
OH,10/4/2016,10/9/2016,B,794,lv,32.41,35.84
GA,10/17/2016,10/25/2016,C-,2235,lv,44,47
NJ,8/9/2016,9/1/2016,C-,912,rv,49,34
NE,9/2/2016,9/22/2016,A-,169,lv,30.94,54.47
AK,9/14/2016,9/20/2016,B,56,lv,20.82,39.24
NM,9/21/2016,9/26/2016,B,194,lv,37.92,26.02
MT,8/26/2016,9/15/2016,A-,113,lv,39.04,52.31
CT,9/2/2016,9/22/2016,A-,440,lv,47.33,37.36
OH,10/17/2016,10/25/2016,C-,1951,lv,40,45
NJ,10/4/2016,10/9/2016,B,618,lv,40.3,34.19
NV,9/21/2016,9/26/2016,B,173,lv,33.96,34.44
OR,9/9/2016,9/22/2016,A-,381,lv,43.63,41.36
MS,9/21/2016,9/26/2016,B,172,lv,25.49,52.31
OR,10/17/2016,10/25/2016,C-,576,lv,51,32
TN,9/9/2016,9/22/2016,A-,447,lv,33.39,47.02
AZ,10/17/2016,10/25/2016,C-,1550,lv,41,42
OR,6/23/2016,6/27/2016,,555,rv,46,32
MI,9/27/2016,9/27/2016,D,1956,lv,46,41
AR,9/21/2016,9/26/2016,B,131,lv,28.09,45.52
RI,9/7/2016,9/13/2016,B,53,lv,37.65,30.19
OH,9/23/2016,9/29/2016,A-,557,lv,44.36,42.81
DE,8/26/2016,9/15/2016,A-,115,lv,43.33,28.07
ME,9/14/2016,9/20/2016,B,59,lv,33.3,35.15
MT,9/14/2016,9/20/2016,B,159,lv,32.75,28.94
MI,6/11/2016,6/20/2016,B-,300,lv,48,33
ND,9/7/2016,9/13/2016,B,71,lv,26.31,45.08
GA,7/31/2016,7/31/2016,B,787,lv,46,46
VT,9/7/2016,9/13/2016,B,72,lv,49.71,18.36
VA,9/27/2016,10/3/2016,B,629,lv,40.86,27
OK,9/2/2016,9/22/2016,A-,332,lv,29.57,54.94
TX,10/17/2016,10/25/2016,C-,2148,lv,40,47
IL,10/4/2016,10/9/2016,B,1025,lv,39.07,29.52
WY,9/7/2016,9/13/2016,B,63,lv,16.57,58.22
ME,9/7/2016,9/13/2016,B,88,lv,33.34,27.83
KS,7/11/2016,7/21/2016,C-,542,lv,27,44
NC,9/27/2016,10/3/2016,B,734,lv,31.28,41.89
CO,10/17/2016,10/25/2016,C-,1595,lv,44,38
PA,10/17/2016,10/25/2016,C-,2131,lv,48,42
WV,9/14/2016,9/20/2016,B,82,lv,19.42,35.52
NH,9/7/2016,9/13/2016,B,75,lv,34.66,34.38
IL,9/16/2016,9/22/2016,A-,426,lv,53.43,30.81
LA,9/2/2016,9/22/2016,A-,369,lv,35.79,51.87
KS,9/21/2016,9/26/2016,B,252,lv,42.95,30.92
WA,9/27/2016,10/3/2016,B,569,lv,45.41,24.67
ID,8/26/2016,9/15/2016,A-,176,lv,31.94,56.14
AZ,9/16/2016,9/29/2016,A-,533,lv,44.13,45.74
CO,6/21/2016,6/24/2016,B,996,lv,40,39
LA,9/21/2016,9/26/2016,B,221,lv,30.6,45.73
HI,9/14/2016,9/20/2016,B,42,lv,43.2,31.59
CO,9/27/2016,10/3/2016,B,558,lv,38.58,28.19
TX,10/4/2016,10/9/2016,B,958,lv,31.75,39.97
DE,9/7/2016,9/13/2016,B,103,lv,33.9,28.33
KS,6/4/2016,6/6/2016,C-,433,rv,43,36
GA,5/27/2016,5/30/2016,B+,724,v,38,45
OR,8/26/2016,9/15/2016,A-,508,lv,44.19,40.95
MS,9/14/2016,9/20/2016,B,246,lv,17.14,54.84
WV,8/26/2016,9/15/2016,A-,146,lv,38.76,49.23
MN,9/27/2016,10/3/2016,B,578,lv,37.89,28.42
AZ,9/27/2016,10/3/2016,B,579,lv,38.76,32.92
MI,9/9/2016,9/22/2016,A-,632,lv,42.97,41.67
NY,10/17/2016,10/25/2016,C-,1169,lv,58,31
NH,8/26/2016,9/15/2016,A-,176,lv,48.47,38.66
CA,10/17/2016,10/25/2016,C-,1923,lv,54,31
MN,9/9/2016,9/22/2016,A-,510,lv,42.86,35.94
MS,8/26/2016,9/15/2016,A-,173,lv,37.2,51.15
NC,6/21/2016,6/24/2016,B,988,lv,44,42
OK,9/21/2016,9/26/2016,B,163,lv,22.59,35.91
AR,9/14/2016,9/20/2016,B,179,lv,36.41,35.42
NC,10/17/2016,10/25/2016,C-,1825,lv,47,43
ID,9/14/2016,9/20/2016,B,144,lv,18.72,43.51
CT,9/21/2016,9/26/2016,B,291,lv,37.53,31.5
MO,9/27/2016,10/3/2016,B,611,lv,38.49,29.66
WA,9/9/2016,9/22/2016,A-,429,lv,49.39,35.21
NV,9/14/2016,9/20/2016,B,236,lv,32.23,33.54
IN,4/26/2016,4/28/2016,A,2149,rv,41,48
FL,6/25/2016,6/27/2016,A,1678,lv,46,42
KY,9/21/2016,9/26/2016,B,320,lv,32.6,35.16
MI,9/27/2016,10/3/2016,B,657,lv,37.61,30.85
NM,8/26/2016,9/15/2016,A-,141,lv,37.79,43.19
NY,9/16/2016,9/22/2016,A-,535,lv,52.85,34.06
MA,9/9/2016,9/22/2016,A-,509,lv,53.52,30.28
VA,7/6/2016,7/10/2016,B,805,lv,38.8,39.2
WI,9/9/2016,9/22/2016,A-,526,lv,41.12,41.09
CO,9/9/2016,9/22/2016,A-,391,lv,42.05,43.82
IA,8/9/2016,9/1/2016,C-,1875,rv,36,40
TX,9/16/2016,9/22/2016,A-,462,lv,32.6,48.1
TN,9/21/2016,9/26/2016,B,449,lv,25.38,47.7
AR,8/26/2016,9/15/2016,A-,286,lv,41.34,51.28
FL,10/4/2016,10/9/2016,B,893,lv,36.85,37.09
RI,8/31/2016,9/6/2016,B,65,lv,41.18,23.5
TX,6/10/2016,6/20/2016,B,1200,rv,32,39
OH,6/14/2016,6/18/2016,C,200,lv,46,43
NV,6/14/2016,6/18/2016,C,200,lv,45,46
NH,6/14/2016,6/18/2016,C,200,lv,44,40
PA,6/14/2016,6/18/2016,C,200,lv,45,41
NC,6/14/2016,6/18/2016,C,200,lv,39,45
ME,8/26/2016,9/15/2016,A-,213,lv,41,39.71
HI,8/31/2016,9/6/2016,B,90,lv,47.31,27.69
ME,8/31/2016,9/6/2016,B,114,lv,37.56,28.42
TX,8/9/2016,9/1/2016,C-,5147,rv,40,40
WI,8/9/2016,9/1/2016,C-,2687,rv,39,37
SD,9/7/2016,9/13/2016,B,82,lv,22.75,43
NY,10/4/2016,10/9/2016,B,875,lv,41.72,30.76
FL,9/23/2016,9/29/2016,A-,701,lv,47.55,46.4
NH,8/5/2016,8/7/2016,B+,802,v,50,37
CA,10/4/2016,10/9/2016,B,1234,lv,47.55,27.38
NV,7/29/2016,7/31/2016,C+,750,lv,41,40
MI,10/17/2016,10/25/2016,C-,1663,lv,44,40
IA,9/21/2016,9/26/2016,B,362,lv,36.2,29.81
IN,9/27/2016,10/3/2016,B,616,lv,35.1,32.52
OR,8/9/2016,9/1/2016,C-,877,rv,47,32
ND,8/31/2016,9/6/2016,B,84,lv,23.8,45.58
FL,8/10/2016,8/10/2016,C-,622,lv,45.2,44.3
SC,8/26/2016,9/15/2016,A-,314,lv,43.47,50.55
SC,9/21/2016,9/26/2016,B,319,lv,28.3,45.73
KS,8/26/2016,9/15/2016,A-,309,lv,38.88,49.42
AK,6/16/2016,6/20/2016,C,670,rv,30,39
DE,7/29/2016,8/18/2016,A-,117,lv,44.1,22.13
OH,6/11/2016,6/20/2016,B-,300,lv,41,41
NV,6/11/2016,6/20/2016,B-,300,lv,44,44
PA,6/11/2016,6/20/2016,B-,300,lv,45,36
NC,6/11/2016,6/20/2016,B-,300,lv,48,38
NH,5/25/2016,5/28/2016,B+,405,lv,44,44
NE,8/26/2016,9/15/2016,A-,175,lv,31.74,51.22
AL,9/21/2016,9/26/2016,B,361,lv,29.18,48.39
NV,8/26/2016,9/15/2016,A-,293,lv,37.63,41.48
IA,8/26/2016,9/15/2016,A-,347,lv,40.55,49.46
WA,8/9/2016,9/1/2016,C-,722,rv,41,31
MT,8/19/2016,9/8/2016,A-,114,lv,29.77,60.2
WV,9/7/2016,9/13/2016,B,94,lv,36.13,35.28
NE,9/14/2016,9/20/2016,B,202,lv,29.11,41.65
IN,9/2/2016,9/15/2016,A-,372,lv,33.33,53.13
NM,9/14/2016,9/20/2016,B,216,lv,30.14,29.76
MO,9/2/2016,9/15/2016,A-,351,lv,35.77,53.43
WY,8/31/2016,9/6/2016,B,69,lv,22.38,46.76
NJ,5/18/2016,5/22/2016,A,702,rv,48,37
PA,9/27/2016,10/3/2016,B,840,lv,37.4,37.06
AK,8/31/2016,9/6/2016,B,86,lv,18.06,44.22
FL,10/17/2016,10/25/2016,C-,2765,lv,47,44
WI,9/27/2016,10/3/2016,B,691,lv,43.01,27.71
CT,8/26/2016,9/15/2016,A-,456,lv,47.21,37.48
MT,9/7/2016,9/13/2016,B,175,lv,27.8,34.93
NJ,9/27/2016,10/3/2016,B,701,lv,41.69,32.62
DC,8/31/2016,9/6/2016,B,66,lv,47.85,21.78
DE,8/31/2016,9/6/2016,B,123,lv,37.37,30.62
RI,8/24/2016,8/30/2016,B,85,lv,38.94,19.93
OK,9/14/2016,9/20/2016,B,198,lv,27.82,44.2
MT,7/29/2016,8/18/2016,A-,100,lv,39.93,46.87
OH,6/27/2016,6/28/2016,B-,1270,rv,49,47.5
NH,6/11/2016,6/20/2016,B-,300,lv,41,41
LA,9/14/2016,9/20/2016,B,259,lv,25.28,53.54
VA,9/9/2016,9/15/2016,A-,435,lv,47.35,37.51
MD,9/21/2016,9/26/2016,B,349,lv,40.59,28.62
OH,9/27/2016,10/3/2016,B,871,lv,36.04,33.55
CA,9/16/2016,9/22/2016,A-,705,lv,60.01,28.38
MA,9/21/2016,9/26/2016,B,399,lv,49.68,22.87
AR,6/21/2016,6/21/2016,C+,751,rv,36,47
AK,9/7/2016,9/13/2016,B,51,lv,23.35,41.15
NC,9/2/2016,9/15/2016,A-,502,lv,46.37,43.72
OR,9/21/2016,9/26/2016,B,347,lv,44.09,28.75
KS,8/9/2016,9/1/2016,C-,741,rv,30,43
ID,9/7/2016,9/13/2016,B,165,lv,11.78,42.37
NH,8/31/2016,9/6/2016,B,78,lv,34.78,20.7
FL,9/27/2016,10/3/2016,B,1270,lv,34.54,42.36
MD,9/2/2016,9/15/2016,A-,361,lv,53.13,29.03
LA,8/26/2016,9/15/2016,A-,374,lv,34.25,54.2
IA,6/9/2016,6/10/2016,B+,630,v,44,41
OK,8/26/2016,9/15/2016,A-,313,lv,32.12,53.18
DE,8/19/2016,9/8/2016,A-,101,lv,45.64,23.53
TN,4/25/2016,5/11/2016,B+,1001,rv,35,44
VT,8/31/2016,9/6/2016,B,66,lv,43.01,12.63
AL,8/26/2016,9/15/2016,A-,392,lv,40.11,52.94
WV,4/29/2016,5/1/2016,B+,1201,v,30,57
ID,8/19/2016,9/8/2016,A-,167,lv,30.1,55.85
TN,9/2/2016,9/15/2016,A-,410,lv,26.46,49.74
IL,9/27/2016,10/3/2016,B,1116,lv,42.41,25.35
NH,6/24/2016,6/28/2016,C+,533,rv,47,42
KY,9/14/2016,9/20/2016,B,366,lv,29.61,40.67
MN,9/2/2016,9/15/2016,A-,537,lv,43.91,33.76
WA,9/2/2016,9/15/2016,A-,460,lv,46.81,36.92
WV,8/19/2016,9/8/2016,A-,137,lv,39.41,54.04
OH,7/13/2016,7/15/2016,B,1104,lv,44,40
IL,9/9/2016,9/15/2016,A-,432,lv,51.5,36.18
CO,9/2/2016,9/15/2016,A-,421,lv,40.11,43.13
KS,9/14/2016,9/20/2016,B,246,lv,41.3,29.59
CT,9/14/2016,9/20/2016,B,307,lv,39,31.8
VA,8/26/2016,9/8/2016,A-,743,lv,50.38,37.08
NH,8/19/2016,9/8/2016,A-,164,lv,49.02,35.71
CO,8/9/2016,9/1/2016,C-,2428,rv,37,37
OH,5/18/2016,5/22/2016,C-,679,lv,38,33
TX,9/27/2016,10/3/2016,B,1000,lv,33.42,40.37
MS,8/19/2016,9/8/2016,A-,155,lv,35.29,58.25
AR,9/7/2016,9/13/2016,B,175,lv,34.5,35.13
VA,8/9/2016,9/1/2016,C-,2468,rv,43,36
PA,9/16/2016,9/22/2016,A-,387,lv,45.69,46.46
CO,9/21/2016,9/26/2016,B,530,lv,36.67,31.48
TN,9/14/2016,9/20/2016,B,493,lv,28.63,41.49
WI,9/2/2016,9/15/2016,A-,533,lv,42.89,39.63
VA,9/21/2016,9/26/2016,B,546,lv,40.36,32.04
SC,9/14/2016,9/20/2016,B,368,lv,33.23,40.95
MN,9/21/2016,9/26/2016,B,547,lv,37.46,28.24
IL,6/5/2016,6/6/2016,C,1231,rv,47,35
NY,8/9/2016,9/1/2016,C-,1405,rv,51,31
FL,9/16/2016,9/22/2016,A-,811,lv,49.08,45.16
MA,9/2/2016,9/15/2016,A-,488,lv,53.07,31.09
WA,9/21/2016,9/26/2016,B,510,lv,42.92,25.27
AL,9/14/2016,9/20/2016,B,413,lv,18.35,55.11
NY,9/27/2016,10/3/2016,B,992,lv,43.02,31.27
CA,5/19/2016,5/31/2016,B+,1150,lv,54,33
MS,9/7/2016,9/13/2016,B,224,lv,20.26,56.57
GA,9/21/2016,9/26/2016,B,441,lv,31.5,39.2
AR,8/19/2016,9/8/2016,A-,266,lv,41.42,49.8
CA,9/27/2016,10/3/2016,B,1463,lv,46.59,28.33
IA,9/14/2016,9/20/2016,B,387,lv,29.97,30.86
AZ,8/9/2016,9/1/2016,C-,2026,rv,37,39
NY,9/9/2016,9/15/2016,A-,544,lv,53.44,29.97
TX,9/9/2016,9/15/2016,A-,462,lv,28.51,51.13
WY,8/24/2016,8/30/2016,B,75,lv,21.3,42.45
OK,9/7/2016,9/13/2016,B,231,lv,21.6,44.62
NE,8/19/2016,9/8/2016,A-,171,lv,27.75,55.65
IN,5/11/2016,5/15/2016,,600,rv,31,40
OH,8/9/2016,9/1/2016,C-,2543,rv,37,40
MO,9/21/2016,9/26/2016,B,560,lv,34.39,31.95
HI,8/24/2016,8/30/2016,B,85,lv,41.35,23.55
NC,9/21/2016,9/26/2016,B,613,lv,32.56,41.32
NE,9/7/2016,9/13/2016,B,217,lv,23.7,45.78
AZ,9/9/2016,9/22/2016,A-,428,lv,41.65,47.86
ME,8/19/2016,9/8/2016,A-,189,lv,52.06,32.89
SC,8/19/2016,9/8/2016,A-,302,lv,44.55,48.91
WI,5/10/2016,5/12/2016,B,600,lv,43,31
NM,7/29/2016,8/18/2016,A-,115,lv,43.98,41.45
KS,8/19/2016,9/8/2016,A-,294,lv,38.27,51.62
AZ,9/21/2016,9/26/2016,B,494,lv,37.8,33.82
WV,8/31/2016,9/6/2016,B,93,lv,22.99,52.23
NV,9/7/2016,9/13/2016,B,207,lv,27.78,35.62
DC,8/24/2016,8/30/2016,B,67,lv,44.27,25.62
MO,8/26/2016,9/8/2016,A-,361,lv,33.97,52.69
ME,8/24/2016,8/30/2016,B,104,lv,47.02,17.28
VA,5/24/2016,5/24/2016,B-,1728,rv,44,38
IA,8/19/2016,9/8/2016,A-,327,lv,41.39,43.91
NC,8/9/2016,9/1/2016,C-,2552,rv,40,41
PA,8/9/2016,9/1/2016,C-,2861,rv,41,38
NV,8/19/2016,9/8/2016,A-,273,lv,43.35,40.55
OH,9/16/2016,9/22/2016,A-,407,lv,46.34,42.88
AK,8/24/2016,8/30/2016,B,87,lv,30.84,29.36
ID,8/31/2016,9/6/2016,B,187,lv,24.67,35.73
IN,9/21/2016,9/26/2016,B,568,lv,36.14,33.29
NV,7/22/2016,7/24/2016,C+,750,lv,38,43
NM,9/7/2016,9/13/2016,B,219,lv,42.32,28.46
MA,9/14/2016,9/20/2016,B,435,lv,50.03,23.57
IN,8/26/2016,9/8/2016,A-,351,lv,32.07,55.94
NM,8/19/2016,9/8/2016,A-,106,lv,38.01,47.6
CT,8/19/2016,9/8/2016,A-,428,lv,45.75,40.14
GA,9/2/2016,9/15/2016,A-,539,lv,39.99,47.77
MD,9/14/2016,9/20/2016,B,355,lv,43.47,26.86
OR,9/14/2016,9/20/2016,B,373,lv,40.19,28.11
VT,8/24/2016,8/30/2016,B,69,lv,50.15,18.1
SC,8/9/2016,9/1/2016,C-,894,rv,38,45
LA,9/7/2016,9/13/2016,B,258,lv,26.43,45.38
WI,9/21/2016,9/26/2016,B,672,lv,40.71,27.62
NJ,9/2/2016,9/15/2016,A-,880,lv,48.91,33.46
KS,9/7/2016,9/13/2016,B,283,lv,37.26,28.56
OK,8/19/2016,9/8/2016,A-,313,lv,33.33,52.43
WV,8/12/2016,9/1/2016,A-,142,lv,37.84,54.98
