state,startdate,enddate,grade,samplesize,population,rawpoll_clinton,rawpoll_trump
TX,10/22/2016,10/24/2016,C+,800,lv,38,45
UT,10/20/2016,10/27/2016,C+,823,lv,24,32
MA,10/23/2016,11/2/2016,A-,417,lv,56,26
WV,11/1/2016,11/7/2016,C-,472,lv,29,56
SD,10/19/2016,10/21/2016,,1115,lv,37,48
PA,10/25/2016,10/26/2016,B,550,lv,48,43
SD,11/1/2016,11/7/2016,C-,459,lv,32,53
VT,11/1/2016,11/7/2016,C-,454,lv,61,25
WA,10/20/2016,10/22/2016,A+,502,lv,48,31
MT,11/1/2016,11/7/2016,C-,449,lv,30,52
ID,10/23/2016,10/24/2016,C+,750,lv,29,48
MA,10/24/2016,10/26/2016,B+,500,lv,57,25
NH,10/17/2016,10/21/2016,B,772,lv,43,38
FL,10/26/2016,10/27/2016,B,500,lv,46,45
ME,10/24/2016,10/26/2016,C,812,lv,42,37
HI,11/1/2016,11/7/2016,C-,426,lv,52,28
NC,10/20/2016,10/23/2016,A,792,lv,46,39
MT,10/10/2016,10/12/2016,B+,1003,lv,36,46
RI,11/1/2016,11/7/2016,C-,415,lv,48,36
PA,10/7/2016,10/11/2016,A+,806,lv,48,39
NH,10/22/2016,10/25/2016,A+,401,lv,46,42
AK,11/1/2016,11/7/2016,C-,409,lv,31,48
MI,10/25/2016,10/26/2016,B,500,lv,50,43
LA,10/17/2016,10/19/2016,B+,625,lv,34,54
AK,10/25/2016,10/27/2016,B,446,lv,38,39
NC,10/10/2016,10/15/2016,A-,788,lv,48,47
AZ,10/21/2016,10/24/2016,A+,401,lv,45,46
FL,10/27/2016,11/1/2016,A-,626,lv,46,45
OH,10/10/2016,10/15/2016,A-,774,lv,44,48
NV,10/12/2016,10/14/2016,B,996,lv,46,40
NC,10/27/2016,11/1/2016,A-,602,lv,47,44
DE,11/1/2016,11/7/2016,C-,367,lv,50,39
ID,10/25/2016,10/27/2016,B,417,lv,29,41
WI,10/27/2016,10/28/2016,B,400,lv,48,42
OH,10/10/2016,10/12/2016,A,724,lv,41,42
NC,10/20/2016,10/23/2016,A+,402,lv,47,46
WI,10/13/2016,10/16/2016,A-,664,lv,47,39
NC,10/17/2016,10/18/2016,,924,lv,42,41
IN,10/30/2016,11/1/2016,B-,399,rv,39,49
CO,10/10/2016,10/16/2016,A-,685,lv,45,37
FL,10/31/2016,11/6/2016,A-,888,lv,47.66,46.77
VT,10/19/2016,10/22/2016,C+,603,lv,50,22
TX,10/7/2016,10/15/2016,B,1000,lv,38,41
CA,11/1/2016,11/7/2016,B,1616,lv,47.88,26.4
TX,10/10/2016,10/12/2016,A,638,lv,43,47
FL,10/17/2016,10/18/2016,,892,lv,45,39
VA,10/17/2016,10/18/2016,,802,lv,43,38
ND,11/1/2016,11/7/2016,C-,313,lv,29,57
DC,11/1/2016,11/7/2016,C-,310,lv,85,7
NC,10/14/2016,10/17/2016,B+,600,lv,44,42
OR,10/10/2016,10/12/2016,A,654,lv,48,38
FL,11/1/2016,11/7/2016,B,1350,lv,36.53,41.36
NV,10/10/2016,10/11/2016,B,1010,lv,43,43
NY,11/1/2016,11/7/2016,B,1308,lv,39.83,33.29
IL,11/1/2016,11/7/2016,B,1256,lv,38.27,31.55
OK,10/18/2016,10/20/2016,B,530,lv,29.6,59.6
CA,10/31/2016,11/6/2016,A-,726,lv,58.85,31.74
TX,11/1/2016,11/7/2016,B,1155,lv,32.29,42.48
PA,11/1/2016,11/7/2016,B,1177,lv,37.69,37.29
NH,10/26/2016,10/28/2016,,408,lv,42.9,44.6
GA,10/17/2016,10/18/2016,,807,lv,44,40
OH,11/1/2016,11/7/2016,B,1070,lv,35.03,38.18
PA,10/20/2016,10/26/2016,A,420,lv,45,39
NJ,11/1/2016,11/7/2016,B,1012,lv,39.37,32.57
TX,10/31/2016,11/6/2016,A-,646,lv,39.3,48.75
SD,10/24/2016,10/26/2016,C-,600,lv,35,49
PA,10/26/2016,10/28/2016,B,1091,lv,48,40
WI,11/1/2016,11/7/2016,B,914,lv,43.17,31.05
GA,11/3/2016,11/3/2016,B,1000,lv,46,48
LA,10/19/2016,10/21/2016,B-,500,lv,35,50
AK,10/21/2016,10/26/2016,,400,lv,47,43
KS,11/1/2016,11/3/2016,C-,313,lv,34,58
CA,10/13/2016,10/15/2016,A,725,lv,56,30
OH,10/17/2016,10/19/2016,B+,500,lv,45,45
MI,11/1/2016,11/7/2016,B,821,lv,35.18,34.05
NJ,10/31/2016,11/6/2016,A-,551,lv,47.78,37.86
NC,11/1/2016,11/7/2016,B,794,lv,35.03,40.65
IN,11/1/2016,11/7/2016,B,774,lv,33.93,36.45
OH,10/31/2016,11/6/2016,A-,552,lv,47.04,46
NY,10/31/2016,11/6/2016,A-,552,lv,51.49,33
VA,11/1/2016,11/7/2016,B,765,lv,39.32,31.71
CO,10/17/2016,10/24/2016,,1004,a,44,34
FL,10/21/2016,10/23/2016,C+,500,lv,46.2,43.3
NC,10/14/2016,10/16/2016,A,651,lv,46,44
VA,10/31/2016,11/6/2016,A-,534,lv,45.9,41.11
MA,10/13/2016,10/16/2016,A-,502,lv,54,28
WI,10/15/2016,10/18/2016,A+,403,lv,47,40
MO,11/1/2016,11/7/2016,B,717,lv,37.3,35.44
MI,10/22/2016,10/24/2016,A-,600,lv,41,34
MN,11/1/2016,11/7/2016,B,695,lv,35.35,31.38
PA,10/7/2016,10/10/2016,,1457,lv,47,38
LA,10/15/2016,10/21/2016,,614,lv,40,43
AZ,11/1/2016,11/7/2016,B,696,lv,40.95,35.97
