CASEID,race,sex,earn2009,bmonth,byear,afqt,region_1979,faminc1978,hgc,nsibs79
5259,"NON-BLACK, NON-HISPANIC",FEMALE,5522.686,8,1959,27.434,4,65596.63,13,2
5260,"NON-BLACK, NON-HISPANIC",MALE,0,12,1961,23.608,3,87181.27,12,4
5261,HISPANIC,FEMALE,37554.26,8,1961,38.424,4,21795.32,12,4
5262,"NON-BLACK, NON-HISPANIC",FEMALE,0,5,1960,45.691,4,,12,5
5263,"NON-BLACK, NON-HISPANIC",MALE,40867.87,7,1957,67.67,4,12713.93,14,2
5264,"NON-BLACK, NON-HISPANIC",FEMALE,76213.06,5,1957,4.008,4,63932.93,12,3
5265,"NON-BLACK, NON-HISPANIC",FEMALE,,1,1959,0.921,4,81369.18,12,3
5266,"NON-BLACK, NON-HISPANIC",MALE,154635.2,10,1963,55.998,4,58120.84,13,2
5267,"NON-BLACK, NON-HISPANIC",MALE,57435.93,1,1960,12.39,4,38868.31,13,3
5268,"NON-BLACK, NON-HISPANIC",FEMALE,,2,1957,75.256,2,,10,4
5269,"NON-BLACK, NON-HISPANIC",MALE,0,10,1962,19.642,2,29060.42,11,5
5270,"NON-BLACK, NON-HISPANIC",MALE,,3,1957,19.174,2,33056.23,12,13
5271,"NON-BLACK, NON-HISPANIC",FEMALE,0,11,1961,36.698,2,,12,13
5272,"NON-BLACK, NON-HISPANIC",FEMALE,23195.28,5,1962,28.603,2,79916.16,12,1
5273,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1958,23.306,2,,13,6
5274,"NON-BLACK, NON-HISPANIC",MALE,27613.43,1,1960,42.704,2,42864.12,13,5
5275,"NON-BLACK, NON-HISPANIC",FEMALE,0,4,1959,35.112,2,,12,3
5276,"NON-BLACK, NON-HISPANIC",FEMALE,4970.417,6,1962,27.089,2,,12,3
5277,"NON-BLACK, NON-HISPANIC",FEMALE,20986.21,10,1962,17.534,2,22521.83,12,6
5278,"NON-BLACK, NON-HISPANIC",MALE,1546.352,2,1964,27.724,2,22521.83,12,6
5279,"NON-BLACK, NON-HISPANIC",MALE,46390.56,3,1960,9.857,2,,8,5
5280,"NON-BLACK, NON-HISPANIC",FEMALE,32031.58,11,1962,20.101,2,,12,5
5281,"NON-BLACK, NON-HISPANIC",MALE,54122.32,3,1961,14.764,2,,9,5
5282,"NON-BLACK, NON-HISPANIC",FEMALE,,7,1959,33.086,2,14530.21,13,3
5283,"NON-BLACK, NON-HISPANIC",FEMALE,,7,1960,12.705,2,29060.42,11,4
5284,"NON-BLACK, NON-HISPANIC",MALE,33136.11,7,1961,46.376,2,29060.42,12,4
5285,"NON-BLACK, NON-HISPANIC",FEMALE,0,5,1960,1.033,2,,12,3
5286,"NON-BLACK, NON-HISPANIC",FEMALE,0,1,1962,32.231,2,,12,3
5287,"NON-BLACK, NON-HISPANIC",FEMALE,15223.83,3,1958,79.838,2,,16,0
5288,"NON-BLACK, NON-HISPANIC",FEMALE,45948.74,9,1957,22.097,2,-11442.54,12,3
5289,"NON-BLACK, NON-HISPANIC",FEMALE,30990,11,1957,88.294,2,23793.22,16,3
5290,"NON-BLACK, NON-HISPANIC",FEMALE,0,6,1960,44.807,2,19434.16,12,3
5291,"NON-BLACK, NON-HISPANIC",MALE,87258.43,10,1962,15.276,2,26699.26,12,3
5292,"NON-BLACK, NON-HISPANIC",FEMALE,22090.74,2,1961,56.368,2,19641.21,13,3
5293,"NON-BLACK, NON-HISPANIC",FEMALE,46390.56,8,1964,19.493,2,,12,4
5294,"NON-BLACK, NON-HISPANIC",FEMALE,2429.982,5,1958,27.953,2,,12,3
5295,"NON-BLACK, NON-HISPANIC",FEMALE,79526.67,1,1958,57.94,2,,17,4
